type,name,res_id,src,value,fuzzy
error,access_error,0,"You try to bypass an access rule!
(Document type: %s)","Опитвате се да прескочите право за достъп!
(Вид документ: %s)",0
error,delete_workflow_record,0,You cannot delete a record with a running workflow.,Не може да изтривате запис от работещ работен процес.,0
error,delete_xml_record,0,You are not allowed to delete this record.,Нямате права да изтривате този запис.,0
error,digits_validation_record,0,"The field ""%s"" on ""%s"" has too many decimal digits.","Полето ""%s"" от ""%s"" има много десетични цифри",0
error,domain_validation_record,0,"The value of the field ""%s"" on ""%s"" is not valid according to its domain.","Стойността на полето ""%s"" от ""%s"" не е валидно според домейна.",0
error,foreign_model_exist,0,"Could not delete ""%s"" records because they are used on field ""%s"" of ""%s"".","Не може да изтривате записи ""%s"" защото се използват в поле ""%s"" от ""%s"".",0
error,foreign_model_missing,0,"The value of field ""%s"" on ""%s"" doesn't exist.","Стойността на полето ""%s"" от ""%s"" не съществува.",0
error,ir.action.act_window,0,Invalid context!,Невалиден контекст!,0
error,ir.action.act_window,0,Invalid domain!,Невалиден домайн!,0
error,ir.action.act_window,0,Invalid search criteria!,Невалиден критерии за търсене!,0
error,ir.action.act_window,0,Invalid views!,Невалидни изгледи!,0
error,ir.action.keyword,0,Wrong wizard model!,Грешен модел на помощник!,0
error,ir.action.report,0,The internal name must be unique by module!,Вътрепното име трябва да е уникално в модула!,0
error,ir.attachment,0,The  names of attachments must be unique by resource!,Имената на прикачените файлове трябва да са уникални по ресурс!,0
error,ir.cron,0,Scheduled action failed,Планираното действие неуспяло,0
error,ir.cron,0,"The following action failed to execute properly: ""%s""
 Traceback: 

%s
","Следното действие не е изпълнено успешно: ""%s""
Информация:

%s",0
error,ir.lang,0,Invalid Grouping!,Невалидно групиране!,0
error,ir.lang,0,The date format is not valid!,Формата на датата е невалиден!,0
error,ir.lang,0,decimal_point and thousands_sep must be different!,десетична точка и разделител на хиляди трябва да са различни!,0
error,ir.model,0,Module Name must be a python identifier!,Името на модула трябва да бъде python идентификатор!,0
error,ir.model,0,The model must be unique!,Модела трябва да е уникален!,0
error,ir.model.access,0,Only one record by model and group is allowed!,Разрешен е само един запис за модел и група!,0
error,ir.model.access,0,You can not create this kind of document! (%s),Не може да създадете този вид документ! (%s),0
error,ir.model.access,0,You can not delete this document! (%s),Не може да изтриете този документ! (%s),0
error,ir.model.access,0,You can not read this document! (%s),Не може да четете този документ! (%s),0
error,ir.model.access,0,You can not write in this document! (%s),Не може да пишете в този документ! (%s),0
error,ir.model.data,0,"The triple (fs_id, module, model) must be unique!","Тройката (fs_id, module, model) трябва да е уникална!",0
error,ir.model.field,0,Model Field Name must be a python identifier!,Името за поле на модел трябва да бъде python идентификатор!,0
error,ir.model.field,0,The field name in model must be unique!,Името на полето трябва да е уникално!,0
error,ir.model.field.access,0,Only one record by field and group is allowed!,Позволен е само един запис по поле и група!,0
error,ir.model.field.access,0,You can not read the field! (%s.%s),Не може да прочетете полето! (%s.%s),0
error,ir.model.field.access,0,You can not write on the field! (%s.%s),Не може да записвате полето! (%s.%s),0
error,ir.module.module,0,"Missing dependencies %s for module ""%s""","Липсващи зависимости %s за модул ""%s""",0
error,ir.module.module,0,The modules you are trying to uninstall depends on installed modules:,От модула който исакте да деинсталирате зависят следните инсталирани модули:,0
error,ir.module.module,0,The name of the module must be unique!,Името на модула трябва да е уникално!,0
error,ir.module.module,0,You can not remove a module that is installed or will be installed,Не може да изтривате модул който инсталиран или ще бъде инсталиран,0
error,ir.module.module.dependency,0,Dependency must be unique by module!,Зависимостта трябва да е уникална за модул!,0
error,ir.rule.group,0,Global and Default are mutually exclusive!,Глобален и По подразбиране са взаимно самоизключващи се!,0
error,ir.sequence,0,Invalid prefix/suffix!,Невалиден префикс/суфикс!,0
error,ir.sequence,0,Last Timestamp could not be in future!,Последния времеви маркер не може да е в бъдещето!,0
error,ir.sequence,0,Missing sequence!,Липсва последователност!,0
error,ir.sequence.strict,0,Invalid prefix/suffix!,Невалиден префикс/суфикс!,0
error,ir.sequence.strict,0,Last Timestamp could not be in future!,Последния времеви маркер не може да е в бъдещето!,0
error,ir.sequence.strict,0,Missing sequence!,Липсва последователност!,0
error,ir.translation,0,Translation must be unique,Превода трябва да е уникален,0
error,ir.translation,0,Translation of type 'model' must be unique!,Превод от вид 'модел' трябва да е уникален!,0
error,ir.trigger,0,"""On Time"" and others are mutually exclusive!","""В даден момент"" и останалите са взаимно изключващи се!",0
error,ir.trigger,0,Condition must be a python expression!,Условието трябва да е python израз!,0
error,ir.ui.view,0,Invalid XML for View!,Невалиден XML за изглед!,0
error,not_found_in_selection,0,Key %r not found in selection field %r,Ключа %r не е намерен в полето за избор %r,0
error,read_error,0,"You try to read records that don't exist anymore!
(Document type: %s)","Опитвате се да прочетете запис който вече не съществува!
(Вид документ: %s)",0
error,reference_syntax_error,0,Syntax error for reference %r in %s,Синтактична грешка за отпратка %r в %s,0
error,relation_not_found,0,Relation not found: %r in %s,Не е намерена зависимост: %r в %s,0
error,required_field,0,"The field ""%s"" on ""%s"" is required.","Полето ""%s"" от ""%s"" е задължително.",0
error,required_validation_record,0,"The field ""%s"" on ""%s"" is required.","Полето ""%s"" от ""%s"" е задължително.",0
error,search_function_missing,0,"Missing search function on field ""%s"".","Липсват функции за търсене върху поле ""%s"".",0
error,size_validation_record,0,"The field ""%s"" on ""%s"" is too long.","Полето ""%s"" от ""%s"" е много дълго.",0
error,too_many_relations_found,0,Too many relations found: %r in %s,Намерени са твърде много зависимости: %r в %s,0
error,write_error,0,"You try to write on records that don't exist anymore!
(Document type: %s)","Опитвате се да запишете в запис който вече не съшествува!
(Вид документ: %s)",0
error,write_xml_record,0,You are not allowed to modify this record.,Нямате права да променяте този запис.,0
error,xml_id_syntax_error,0,Syntax error for XML id %r in %s,Ситактична грешка за XML id %r в %s,0
error,xml_record_desc,0,This record is part of the base configuration.,Този запис е част от основната конфигурация.,0
field,"ir.action,active",0,Active,Активен,0
field,"ir.action,groups",0,Groups,Групи,0
field,"ir.action,icon",0,Icon,Икона,0
field,"ir.action,keywords",0,Keywords,Ключови думи,0
field,"ir.action,name",0,Name,Име,0
field,"ir.action,rec_name",0,Name,Име,0
field,"ir.action,type",0,Type,Вид,0
field,"ir.action,usage",0,Usage,Използване,0
field,"ir.action.act_window,act_window_views",0,Views,Изгледи,0
field,"ir.action.act_window,action",0,Action,Действие,0
field,"ir.action.act_window,auto_refresh",0,Auto-Refresh,Самообновяване,0
field,"ir.action.act_window,context",0,Context Value,Стойност на котекст,0
field,"ir.action.act_window,domain",0,Domain Value,Стойност на домейн,0
field,"ir.action.act_window,limit",0,Limit,Ограничение,0
field,"ir.action.act_window,pyson_context",0,PySON Context,PySON контекст,0
field,"ir.action.act_window,pyson_domain",0,PySON Domain,PySON контекст,0
field,"ir.action.act_window,pyson_search_value",0,PySON Search Criteria,PySON критерии за търсене,0
field,"ir.action.act_window,rec_name",0,Name,Име,0
field,"ir.action.act_window,res_model",0,Model,Модел,0
field,"ir.action.act_window,search_value",0,Search Criteria,Критерии за търсене,0
field,"ir.action.act_window,view_type",0,Type of view,Вид изглед,0
field,"ir.action.act_window,views",0,Views,Изгледи,0
field,"ir.action.act_window,window_name",0,Window Name,Име на прозорец,0
field,"ir.action.act_window.view,act_window",0,Action,Действие,0
field,"ir.action.act_window.view,rec_name",0,Name,Име,0
field,"ir.action.act_window.view,sequence",0,Sequence,Последователност,0
field,"ir.action.act_window.view,view",0,View,Изглед,0
field,"ir.action.keyword,action",0,Action,Действие,0
field,"ir.action.keyword,keyword",0,Keyword,Ключова дума,0
field,"ir.action.keyword,model",0,Model,Модел,0
field,"ir.action.keyword,rec_name",0,Name,Име,0
field,"ir.action.report,action",0,Action,Действие,0
field,"ir.action.report,direct_print",0,Direct Print,Директен печат,0
field,"ir.action.report,email",0,Email,Email,0
field,"ir.action.report,extension",0,Extension,Разширение,0
field,"ir.action.report,model",0,Model,Модел,0
field,"ir.action.report,module",0,Module,Модул,0
field,"ir.action.report,pyson_email",0,PySON Email,PySON Email,0
field,"ir.action.report,rec_name",0,Name,Име,0
field,"ir.action.report,report",0,Path,Път,0
field,"ir.action.report,report_content",0,Content,Съдържание,0
field,"ir.action.report,report_content_data",0,Content,Съдържание,0
field,"ir.action.report,report_name",0,Internal Name,Вътрешно име,0
field,"ir.action.report,style",0,Style,Стил,0
field,"ir.action.report,style_content",0,Style,Стил,0
field,"ir.action.url,action",0,Action,Действие,0
field,"ir.action.url,rec_name",0,Name,Име,0
field,"ir.action.url,url",0,Action Url,URL на действие,0
field,"ir.action.wizard,action",0,Action,Действие,0
field,"ir.action.wizard,email",0,Email,Email,0
field,"ir.action.wizard,model",0,Model,Модел,0
field,"ir.action.wizard,rec_name",0,Name,Име,0
field,"ir.action.wizard,window",0,Window,Прозорец,0
field,"ir.action.wizard,wiz_name",0,Wizard name,Име на помощник,0
field,"ir.action.wizard_size,height",0,Height,Височина,0
field,"ir.action.wizard_size,model",0,Model,Модел,0
field,"ir.action.wizard_size,rec_name",0,Name,Име,0
field,"ir.action.wizard_size,user",0,User,Потребител,0
field,"ir.action.wizard_size,width",0,Width,Ширина,0
field,"ir.action.wizard_size,wizard",0,Wizard,Помощник,0
field,"ir.attachment,collision",0,Collision,Конфликт,0
field,"ir.attachment,data",0,Data,Данни,0
field,"ir.attachment,data_size",0,Data size,Размер на данни,0
field,"ir.attachment,datas",0,Datas,Данни,0
field,"ir.attachment,datas_size",0,Datas size,Размер на данните,0
field,"ir.attachment,description",0,Description,Описание,0
field,"ir.attachment,digest",0,Digest,Резюме,0
field,"ir.attachment,last_modification",0,Last Modification,Последна промяна,0
field,"ir.attachment,last_user",0,Last User,Последен потребител,0
field,"ir.attachment,link",0,Link,Препратка,0
field,"ir.attachment,name",0,Name,Име на прикачен файл,0
field,"ir.attachment,rec_name",0,Name,Име,0
field,"ir.attachment,resource",0,Resource,Ресурс,0
field,"ir.attachment,summary",0,Summary,Обобщено,0
field,"ir.attachment,type",0,Type,Вид,0
field,"ir.cache,name",0,Name,Име,0
field,"ir.cache,rec_name",0,Name,Име,0
field,"ir.cache,timestamp",0,Timestamp,Дата,0
field,"ir.cron,active",0,Active,Активен,0
field,"ir.cron,args",0,Arguments,Аргументи,0
field,"ir.cron,doall",0,Repeat missed,Повтаряне на липсващите,0
field,"ir.cron,function",0,Function,Функция,0
field,"ir.cron,interval_number",0,Interval Number,Номер на интервал,0
field,"ir.cron,interval_type",0,Interval Unit,Единица за интервал,0
field,"ir.cron,model",0,Model,Модел,0
field,"ir.cron,name",0,Name,Име,0
field,"ir.cron,nextcall",0,Next call date,Следващата дата на разговор,0
field,"ir.cron,numbercall",0,Number of calls,Брой обаждания,0
field,"ir.cron,priority",0,Priority,Важност,0
field,"ir.cron,rec_name",0,Name,Име,0
field,"ir.cron,request_user",0,Request User,Заявил потребител,0
field,"ir.cron,running",0,Running,Работещ,0
field,"ir.cron,user",0,Execution User,Изпълняващ потребител,0
field,"ir.default,clause",0,Clause,Клауза,0
field,"ir.default,field",0,Field,Поле,0
field,"ir.default,model",0,Model,Модел,0
field,"ir.default,rec_name",0,Name,Име,0
field,"ir.default,user",0,User,Потребител,0
field,"ir.default,value",0,Value,Стойност,0
field,"ir.export,export_fields",0,Fields,Полета,0
field,"ir.export,name",0,Name,Име,0
field,"ir.export,rec_name",0,Name,Име,0
field,"ir.export,resource",0,Resource,Ресурс,0
