type,name,res_id,src,value,fuzzy
error,access_error,0,"You try to bypass an access rule!
(Document type: %s)","Fehlende Zugriffsberechtigung!
(Dokumententyp: %s)",0
error,delete_workflow_record,0,You cannot delete a record with a running workflow.,Ein im Workflow befindlicher Datensatz kann nicht gelöscht werden!,0
error,delete_xml_record,0,You are not allowed to delete this record.,Keine Löschberechtigung für diesen Datensatz,0
error,digits_validation_record,0,"The field ""%s"" on ""%s"" has too many decimal digits.","Das Feld ""%s"" in ""%s"" weist zu viele Dezimalstellen auf.",0
error,domain_validation_record,0,"The value of the field ""%s"" on ""%s"" is not valid according to its domain.","Der Wert von Feld ""%s"" in ""%s"" liegt nicht im gültigen Wertebereich (Domain)!",0
error,domain_validation_record,0,"The value of the field ""%s"" on ""%s"" is not valid with his domain.","Der Wert von Feld ""%s"" in ""%s"" liegt nicht im gültigen Wertebereich (Domain)!",0
error,foreign_model_exist,0,"Could not delete ""%s"" records because they are used on field ""%s"" of ""%s"".","""%s"" Datensätze konnten nicht gelöscht werden, weil sie in Feld ""%s"" in ""%s"" verwendet werden.",0
error,foreign_model_missing,0,"The value of field ""%s"" on ""%s"" doesn't exist.","Der Wert von Feld ""%s"" in ""%s"" existiert nicht.",0
error,ir.action.act_window,0,Invalid context!,Ungültiger Kontext!,0
error,ir.action.act_window,0,Invalid domain!,Ungültiger Wertebereich (Domain)!,0
error,ir.action.act_window,0,Invalid search criteria!,Ungültige Suchkriterien!,0
error,ir.action.act_window,0,Invalid views!,Ungültige Sicht!,0
error,ir.action.keyword,0,Wrong wizard model!,Falsches Wizardmodell!,0
error,ir.action.report,0,The internal name must be unique by module!,Der interne Name kann pro Modul nur einmal vergeben werden!,0
error,ir.attachment,0,The  names of attachments must be unique by resource!,Der Name für einen Anhang kann nur einmal pro Ressource vergeben werden!,0
error,ir.cron,0,Scheduled action failed,Geplante Aktion fehlgeschlagen,0
error,ir.cron,0,"The following action failed to execute properly: ""%s""
 Traceback: 

%s
","Die folgende Aktion konnte nicht erfolgreich durchgeführt werden: ""%s""
 Traceback:

%s",0
error,ir.lang,0,Invalid Grouping!,Ungültige Gruppierung,0
error,ir.lang,0,The date format is not valid!,Ungültiges Datumsformat,0
error,ir.lang,0,decimal_point and thousands_sep must be different!,Dezimalpunkt and Tausendertrennzeichen müssen unterschiedlich sein!,0
error,ir.model,0,Module Name must be a python identifier!,Der Name eines Moduls muss ein gültiger Python-Bezeichner sein!,0
error,ir.model,0,The model must be unique!,Das Modell kann nicht mehrfach vergeben werden!,0
error,ir.model.access,0,Only one record by model and group is allowed!,Nur ein Datensatz pro Modell und Gruppe möglich!,0
error,ir.model.access,0,You can not create this kind of document! (%s),Keine Berechtigung für die Erstellung dieser Dokumentenart! (%s) ,0
error,ir.model.access,0,You can not delete this document! (%s),Keine Berechtigung für die Löschung dieses Dokuments! (%s),0
error,ir.model.access,0,You can not read this document! (%s),Keine Leseberechtigung für dieses Dokument! (%s),0
error,ir.model.access,0,You can not write in this document! (%s),Keine Schreibberechtigung für dieses Dokument! (%s),0
error,ir.model.data,0,"The triple (fs_id, module, model) must be unique!","Die Dreifachkombination (fs_id, module, model)  muss eindeuitg sein (kann nicht mehrfach vergeben werden)!",0
error,ir.model.field,0,Model Field Name must be a python identifier!,Der Feldname eines Modells muss ein gültiger Python-Bezeichner sein!,0
error,ir.model.field,0,The field name in model must be unique!,Der Feldname in Modell kann nicht mehrfach vergeben werden!,0
error,ir.model.field.access,0,Only one record by field and group is allowed!,Nur ein Datensatz pro Feld und Gruppe möglich!,0
error,ir.model.field.access,0,You can not read the field! (%s.%s),Keine Leseberechtigung für das Feld (%s.%s)!,0
error,ir.model.field.access,0,You can not write on the field! (%s.%s),Keine Schreibberechtigung für das Feld (%s.%s)!,0
error,ir.module.module,0,"Missing dependencies %s for module ""%s""","Fehlende Abhängigkeiten %s für Modul ""%s""",0
error,ir.module.module,0,The modules you are trying to uninstall depends on installed modules:,Die zu deinstallierenden Module hängen von installierten Module ab:,0
