type,name,res_id,src,value,fuzzy
error,access_error,0,"You try to bypass an access rule!
(Document type: %s)",¡Está intentando sobrepasar una regla de acceso!,0
error,delete_workflow_record,0,You cannot delete a record with a running workflow.,No puede borrar un registro involucrado en un flujo activo.,0
error,delete_xml_record,0,You are not allowed to delete this record.,No esta autorizado a eliminar este registro.,0
error,digits_validation_record,0,"The field ""%s"" on ""%s"" has too many decimal digits.","El campo ""%s"" en ""%s"" tiene muchos dígitos decimales.",0
error,domain_validation_record,0,"The value of the field ""%s"" on ""%s"" is not valid according to its domain.","El valor del campo ""%s"" en ""%s no es válido ",0
error,foreign_model_exist,0,"Could not delete ""%s"" records because they are used on field ""%s"" of ""%s"".","No se pudo borrar ""%s"" regisros porque se usan en el campo ""%s"" de ""%s"".",0
error,foreign_model_missing,0,"The value of field ""%s"" on ""%s"" doesn't exist.","El valor del campo ""%s"" no existe.",0
error,ir.action.act_window,0,Invalid context!,¡Contexto inválido!,0
error,ir.action.act_window,0,Invalid domain!,¡Dominio inválido!,0
error,ir.action.act_window,0,Invalid search criteria!,¡Criterio de búsqueda inválido!,0
error,ir.action.keyword,0,Wrong wizard model!,¡Modelo de asistente erróneo!,0
error,ir.action.report,0,The internal name must be unique by module!,¡El nombre interno de los módulos debe ser único!,0
error,ir.attachment,0,The  names of attachments must be unique by resource!,¡Los nombres por recurso de adjuntos deben ser unicos!,0
error,ir.cron,0,Scheduled action failed,La acción agendada falló,0
error,ir.cron,0,"The following action failed to execute properly: ""%s""
 Traceback: 

%s
","La siguiente acción no se ejecutó correctamente: ""%s""
 Traza:

%s
",0
error,ir.lang,0,decimal_point and thousands_sep must be different!,El punto_decimal y el separador_de_miles NO pueden coincidir!,0
error,ir.lang,0,Invalid Grouping!,Agrupamiento Inválido!,0
error,ir.lang,0,The date format is not valid!,El formato de fecha no es válido!,0
error,ir.model,0,Module Name must be a python identifier!,El Nombre del Módulo debe ser un identificador de Python!,0
error,ir.model,0,The model must be unique!,El modelo debe ser único!,0
error,ir.model.access,0,Only one record by model and group is allowed!,Sólo se permite un registro por modelo y grupo!,0
error,ir.model.access,0,You can not create this kind of document! (%s),No puede crear esta clase de documento! (%s),0
error,ir.model.access,0,You can not delete this document! (%s),No puede borrar este documento! (%s),0
error,ir.model.access,0,You can not read this document! (%s),No puede leer este documento! (%s),0
error,ir.model.access,0,You can not write in this document! (%s),No puede escribir en este documento! (%s),0
error,ir.model.data,0,"The triple (fs_id, module, model) must be unique!","La tripla(fs_id, módulo, modelo) debe ser única!",0
error,ir.model.field,0,Model Field Name must be a python identifier!,El campo del Nombre del Modelo debe ser un identificador de Python!,0
error,ir.model.field,0,The field name in model must be unique!,El nombre del campo en el modelo debe ser único!,0
error,ir.module.module,0,"Missing dependencies %s for module ""%s""","Dependencias faltantes %s para el módulo ""%s""",0
error,ir.module.module,0,The modules you are trying to uninstall depends on installed modules:,Los módulos que está tratando de desinstalar dependen de módulos instalados:,0
error,ir.module.module,0,The name of the module must be unique!,El nombre del módulo debe ser único!,0
error,ir.module.module,0,You can not remove a module that is installed or will be installed,No puede eliminar un módulo que está instalado o que va a ser instalado,0
error,ir.module.module.dependency,0,Dependency must be unique by module!,¡Las dependencias por módulo deben ser únicas!,0
error,ir.rule.group,0,Global and Default are mutually exclusive!,Global y Predeterminado son mutuamente excluyentes!,0
error,ir.sequence,0,Invalid prefix/suffix!,prefijo/sufijo inválidos!,0
error,ir.sequence,0,Missing sequence!,Falta la secuencia!,0
error,ir.sequence.strict,0,Invalid prefix/suffix!,prefijo/sufijo inválidos!,0
error,ir.sequence.strict,0,Missing sequence!,Falta la secuencia!,0
error,ir.translation,0,Translation must be unique,La traducción debe ser única,0
error,ir.ui.view,0,Invalid XML for View!,XML inválido para la Vista!,0
error,not_found_in_selection,0,Key %r not found in selection field %r,No encontró la llave %r en el campo seleccionado %r,0
error,read_error,0,"You try to read records that don't exist anymore!
(Document type: %s)",¡Está intentando leer registros que ya no existen!,0
error,reference_syntax_error,0,Syntax error for reference %r in %s,Error de sintaxis para la referencia %r en %s,0
error,relation_not_found,0,Relation not found: %r in %s,Relación no encontrada: %r en %s,0
error,required_field,0,"The field ""%s"" on ""%s"" is required.","Se requiere el campo ""%s"" en ""%s"".",0
error,required_validation_record,0,"The field ""%s"" on ""%s"" is required.","Se requiere el campo ""%s"" en ""%s"".",0
error,search_function_missing,0,"Missing search function on field ""%s"".","Búsqueda faltante en el campo ""%s"".",0
error,size_validation_record,0,"The field ""%s"" on ""%s"" is too long.","El campo ""%s"" en ""%s"" es demasiado largo.",0
error,too_many_relations_found,0,Too many relations found: %r in %s,Muchas relaciones encontradas: %r en %s,0
