type,name,res_id,src,value,fuzzy
error,access_error,0,"You try to bypass an access rule!
(Document type: %s)","Está intentando evitar una regla de acceso
(Tipo de documento: %s)",0
error,delete_workflow_record,0,You cannot delete a record with a running workflow.,No puede borrar un registro involucrado en un flujo activo.,0
error,delete_xml_record,0,You are not allowed to delete this record.,No está autorizado a borrar este registro.,0
error,domain_validation_record,0,"The value of the field ""%s"" on ""%s"" is not valid according to its domain.",El valor del campo «%s» en «%s» no es válido según su dominio.,0
error,foreign_model_exist,0,"Could not delete ""%s"" records because they are used on field ""%s"" of ""%s"".",No se pudieron borrar «%s» registros porque se usan en el campo «%s» de «%s».,0
error,foreign_model_missing,0,"The value of field ""%s"" on ""%s"" doesn't exist.",El valor del campo «%s» en «%s» no existe.,0
error,ir.action.keyword,0,Wrong wizard model!,El modelo del asistente no es válido,0
error,ir.action.report,0,The internal name must be unique by module!,El nombre interno de los módulos debe ser único,0
error,ir.attachment,0,The names of attachments must be unique by record!,El nombre de los adjuntos debe ser único por cada registro,0
error,ir.cron,0,Scheduled action failed,La acción programada ha fallado,0
error,ir.cron,0,"The following action failed to execute properly: ""%s""
 Traceback: 

%s
","La siguiente acción no se ejecutó correctamente: «%s»
 Traza:

%s
",0
error,ir.lang,0,decimal_point and thousands_sep must be different!,«decimal_point» y «thousands_sep» deben ser distintos,0
error,ir.lang,0,Invalid Grouping!,El agrupamiento no es válido,0
error,ir.lang,0,The date format is not valid!,El formato de la fecha no es válido,0
error,ir.model,0,The model must be unique!,El modelo debe ser único,0
error,ir.model.access,0,Only one record by model and group is allowed!,Solo se permite un registro por modelo y grupo,0
error,ir.model.access,0,You can not create this kind of document! (%s),No puede crear este tipo de documento (%s),0
error,ir.model.access,0,You can not delete this document! (%s),No puede borrar este documento (%s),0
error,ir.model.access,0,You can not read this document! (%s),No puede leer este documento (%s),0
error,ir.model.access,0,You can not write in this document! (%s),No puede escribir en este documento (%s),0
error,ir.model.data,0,"The triple (fs_id, module, model) must be unique!","La terna (fs_id, module, model) debe ser única",0
error,ir.model.field,0,The field name in model must be unique!,El nombre del campo en el modelo debe ser único,0
error,ir.module.module,0,"Missing dependencies %s for module ""%s""",Faltan las dependencias %s para el módulo «%s»,0
error,ir.module.module,0,The modules you are trying to uninstall depends on installed modules:,Los módulos que está intentando desinstalar dependen de módulos instalados:,0
error,ir.module.module,0,The name of the module must be unique!,El nombre del módulo debe ser único,0
error,ir.module.module,0,You can not remove a module that is installed or will be installed,No puede eliminar un módulo que está instalado o que va a ser instalado,0
error,ir.module.module.dependency,0,Dependency must be unique by module!,Las dependencias por módulo deben ser únicas,0
