type,name,res_id,src,value,fuzzy
error,delete_workflow_record,0,You cannot delete a record with a running workflow.,Vous ne pouvez pas supprimer un enregistrement avec un workflow actif.,0
error,delete_xml_record,0,You are not allowed to delete this record.,Vous n'êtes pas authorisé à supprimer cet enregistrement,0
error,ir.action.keyword,0,Wrong wizard model!,Mauvais modèle de wizard,0
error,ir.action.report,0,The internal name must be unique!,Le nom interne doit être unique,0
error,ir.attachment,0,Error! You can not create attachments with the same name!,Erreur ! Vous ne pouvez pas créer des pièces jointes avec le même nom.,0
error,ir.cron,0,Scheduled action failed,L'action planifiée a échoué,0
error,ir.cron,0,"The following action failed to execute properly: ""%s""
 Traceback: 

%s
","L'action suivante ne c'est pas exécutée correctement: ""%s""
 Traceback: 

%s
",0
error,ir.lang,0,decimal_point and thousands_sep must be different!,decimal_point et thousands_sep doivent être différents !,0
error,ir.lang,0,Invalid Grouping!,Groupement incorrect !,0
error,ir.lang,0,The date format is not valid!,Le format de date est incorrect !,0
error,ir.model,0,The model must be unique!,Le modèle doit être unique !,0
error,ir.model.access,0,Only on record by model and group is allowed!,Seul un enregistrement par modèle et par groupe est autorise,0
error,ir.model.access,0,You can not create this kind of document! (%s),Vous ne pouvez pas créer ce type de document ! (%s),0
error,ir.model.access,0,You can not delete this document! (%s),Vous ne pouvez pas supprimer ce document ! (%s),0
error,ir.model.access,0,You can not read this document! (%s),Vous ne pouvez pas lire ce document ! (%s),0
error,ir.model.access,0,You can not write in this document! (%s),Vous ne pouvez pas écrire dans ce document ! (%s),0
error,ir.model.data,0,"The triple (fs_id, module, model) must be unique!","Le triplet (fs_id, module, model) doit être unique !",0
error,ir.model.field,0,The field name in model must be unique!,Le champ du nom doit être unique sur le modèle !,0
error,ir.module.module,0,"Missing dependencies %s for module ""%s""","Dépendences %s manquante pour le module ""%s""",0
error,ir.module.module,0,The modules you are trying to uninstall depends on installed modules:,Les modules que vous essayez de déinstaller dépendent de modules installés :,0
error,ir.module.module,0,The name of the module must be unique!,Le nom du module doit être unique,0
error,ir.module.module,0,You can not remove a module that is installed or will be installed,Vous ne pouvez pas supprimer un module qui est installé ou qui le sera,0
error,ir.rule.group,0,Global and Default are mutually exclusive!,Global et Défaut sont exclusifs !,0
error,ir.sequence,0,Invalid prefix/suffix!,Prefixe/suffixe non valide !,0
error,ir.sequence,0,Missing sequence!,Séquence manquante !,0
error,ir.sequence.strict,0,Invalid prefix/suffix!,Prefixe/suffixe non valide !,0
error,ir.sequence.strict,0,Missing sequence!,Séquence manquante !,0
error,ir.translation,0,Translation must be unique,La traduction doit être unique,0
error,ir.ui.view,0,Invalid XML for View!,L'xml de la vue n'est pas valide !,0
error,write_xml_record,0,You are not allowed to modify this record.,Vous n'êtes pas autorisé à modifier cet enregistrement.,0
error,xml_record_desc,0,This record is part of the base configuration.,Cet enregistrement fait partie de la configuration de base.,0
field,"ir.action.act_window,action",0,Action,Action,0
field,"ir.action.act_window,act_window_views",0,Views,Vues,0
field,"ir.action.act_window,auto_refresh",0,Auto-Refresh,Auto-rafraîchissement,0
field,"ir.action.act_window,context",0,Context Value,Valeur contextuelle,0
field,"ir.action.act_window,domain",0,Domain Value,Valeur du domaine,0
field,"ir.action.act_window,limit",0,Limit,Limite,0
field,"ir.action.act_window,res_model",0,Model,Modèle,0
field,"ir.action.act_window,search_value",0,Search Criteria,Critères de recherche,0
field,"ir.action.act_window,src_model",0,Source model,Modèle source,0
field,"ir.action.act_window,usage",0,Action Usage,Utilisation,0
field,"ir.action.act_window.view,act_window",0,Action,Action,0
field,"ir.action.act_window.view,multi",0,On multiple doc.,Sur plusieurs doc.,0
field,"ir.action.act_window,views",0,Views,Vues,0
field,"ir.action.act_window.view,sequence",0,Sequence,Séquence,0
field,"ir.action.act_window,view_type",0,Type of view,Type de vue,0
field,"ir.action.act_window.view,view",0,View,Vue,0
field,"ir.action.act_window,window_name",0,Window Name,Nom de la fenêtre,0
field,"ir.action,groups",0,Groups,Groupes,0
field,"ir.action.keyword,action",0,Action,Action,0
field,"ir.action.keyword,keyword",0,Keyword,Mot-clé,0
field,"ir.action.keyword,model",0,Model,Modèle,0
field,"ir.action,keywords",0,Keywords,Mots-clés,0
field,"ir.action,name",0,Name,Nom,0
field,"ir.action.report,action",0,Action,Action,0
field,"ir.action.report,direct_print",0,Direct Print,Imprimer directement,0
field,"ir.action.report,model",0,Model,Modèle,0
field,"ir.action.report,module",0,Module,Module,0
field,"ir.action.report,output_format",0,Output format,Format de sortie,0
field,"ir.action.report.outputformat,format",0,Internal Format Name,Nom du format interne,0
field,"ir.action.report.outputformat,name",0,Name,Nom,0
field,"ir.action.report,report",0,Path,Chemin,0
field,"ir.action.report,report_content",0,Content,Contenu,0
