type,name,res_id,src,value,fuzzy
error,access_error,0,"You try to bypass an access rule!
(Document type: %s)","U probeert een toegangsregel te omzeilen!
(Document type: %s)",0
error,delete_workflow_record,0,You cannot delete a record with a running workflow.,U kunt een item in een actieve werkgang niet verwijderen.,0
error,delete_xml_record,0,You are not allowed to delete this record.,Het is u niet toegestaan dit item te verwijderen.,0
error,digits_validation_record,0,"The field ""%s"" on ""%s"" has too many decimal digits.","Het veld ""%s"" in ""%s"" heeft te veel decimalen.",0
error,domain_validation_record,0,"The value of the field ""%s"" on ""%s"" is not valid according to its domain.","De waarde van het veld ""%s"" in ""%s"" is niet geldig binnen zijn domein.",0
error,foreign_model_exist,0,"Could not delete ""%s"" records because they are used on field ""%s"" of ""%s"".","Kon items ""%s"" niet verwijderen omdat ze in gebruik waren in veld ""%s"" van ""%s"".",0
error,foreign_model_missing,0,"The value of field ""%s"" on ""%s"" doesn't exist.","De waarde van veld ""%s"" in ""%s"" bestaat niet.",0
error,ir.action.act_window,0,Invalid context!,Ongeldig verband!,0
error,ir.action.act_window,0,Invalid domain!,Ongeldig domein!,0
error,ir.action.act_window,0,Invalid search criteria!,Ongeldig zoek argument!,0
error,ir.action.keyword,0,Wrong wizard model!,Verkeerde assistent model!,0
error,ir.action.report,0,The internal name must be unique by module!,De interne naam moet uniek zijn per module!,0
error,ir.attachment,0,The  names of attachments must be unique by resource!,De namen van de bijlagen moeten uniek zijn per bron!,0
error,ir.cron,0,Scheduled action failed,Geplande actie mislukt,0
error,ir.cron,0,"The following action failed to execute properly: ""%s""
 Traceback: 

%s
","Deze aktie is niet goed uitgevoerd: ""%s""
Spoor:

%s",0
error,ir.lang,0,Invalid Grouping!,Ongeldigegroep,0
error,ir.lang,0,The date format is not valid!,Datum samenstelling is niet geldig!,0
error,ir.lang,0,decimal_point and thousands_sep must be different!,Decimaal teken en duizendtal teken moet verschillend zijn!,0
error,ir.model,0,Module Name must be a python identifier!,Module naam moet een python variabele zijn!,0
error,ir.model,0,The model must be unique!,Het model moet uniek zijn!,0
error,ir.model.access,0,Only one record by model and group is allowed!,Slechts één item per model en groep is toegestaan!,0
error,ir.model.access,0,You can not create this kind of document! (%s),U kunt dit type document niet aanmaken! (%s),0
error,ir.model.access,0,You can not delete this document! (%s),U kunt dit document niet verwijderen! (%s),0
error,ir.model.access,0,You can not read this document! (%s),U kunt dit document openen! (%s),0
error,ir.model.access,0,You can not write in this document! (%s),U kunt dit document niet muteren! (%s),0
error,ir.model.data,0,"The triple (fs_id, module, model) must be unique!","Het drietal (fs_id, module, model) moet uniek zijn!",0
error,ir.model.field,0,Model Field Name must be a python identifier!,Model veldnaam moet een python variabele zijn!,0
error,ir.model.field,0,The field name in model must be unique!,De veldnaam in het model moet uniek zijn!,0
error,ir.module.module,0,"Missing dependencies %s for module ""%s""","Afhankelijkheid %s ontbreekt voor module ""%s""",0
error,ir.module.module,0,The modules you are trying to uninstall depends on installed modules:,De module die u wilt verwijderen is afhankelijk van geïnstalleerde modules:,0
error,ir.module.module,0,The name of the module must be unique!,De naam van de module moet uniek zijn!,0
error,ir.module.module,0,You can not remove a module that is installed or will be installed,U kunt een module niet verwijderen als die geïnstalleerd is of wordt.,0
error,ir.module.module.dependency,0,Dependency must be unique by module!,Afhankelijkheid moet uniek zijn per module!,0
error,ir.rule.group,0,Global and Default are mutually exclusive!,Globaal en standaard sluiten elkaar uit!,0
error,ir.sequence,0,Invalid prefix/suffix!,Ongeldig voorvoegsel / toevoeging,0
error,ir.sequence,0,Last Timestamp could not be in future!,Laatste tijdmarkering kan niet in de toekomst zijn!,0
error,ir.sequence,0,Missing sequence!,Reeks ontbreekt!,0
error,ir.sequence.strict,0,Invalid prefix/suffix!,Ongeldig voorvoegsel / toevoeging,0
error,ir.sequence.strict,0,Last Timestamp could not be in future!,Laatste tijdmarkering kan niet in de toekomst zijn!,0
error,ir.sequence.strict,0,Missing sequence!,Reeks ontbreekt!,0
error,ir.translation,0,Translation must be unique,Vertaling moet uniek zijn!,0
error,ir.translation,0,Translation of type 'model' must be unique!,Vertaling van type 'model' moet uniek zijn!,0
error,ir.trigger,0,"""On Time"" and others are mutually exclusive!","""Op tijd"" en anderen sluiten elkaar uit!",0
error,ir.trigger,0,Condition must be a python expression!,Voorwaarde moet een python formule zijn!,0
error,ir.ui.view,0,Invalid XML for View!,Ongeldig XML code in aanzicht!,0
error,not_found_in_selection,0,Key %r not found in selection field %r,Sleutel %r niet gevonden in selectie veld %r,0
error,read_error,0,"You try to read records that don't exist anymore!
(Document type: %s)","U probeert items te lezen die niet meer bestaan!
(Document type: %s)",0
error,reference_syntax_error,0,Syntax error for reference %r in %s,Foutieve verwijzing voor %r in %s,0
error,relation_not_found,0,Relation not found: %r in %s,Relatie niet gevonden: %r in %s,0
error,required_field,0,"The field ""%s"" on ""%s"" is required.","Het veld ""%s"" in ""%s"" is vereist.",0
error,required_validation_record,0,"The field ""%s"" on ""%s"" is required.","Het veld ""%s"" in ""%s"" is vereist.",0
error,search_function_missing,0,"Missing search function on field ""%s"".","Zoekfunctie ontbreekt voor veld "" %s"".",0
error,size_validation_record,0,"The field ""%s"" on ""%s"" is too long.","Veld ""%s"" op ""%s"" is te lang.",0
error,too_many_relations_found,0,Too many relations found: %r in %s,Te veel relaties gevonden: %r in %s,0
error,write_error,0,"You try to write on records that don't exist anymore!
(Document type: %s)","U probeert items te muteren die niet meer bestaan!
(Document type: %s)",0
error,write_xml_record,0,You are not allowed to modify this record.,Het is u niet toegestaan dit item te muteren.,0
error,xml_id_syntax_error,0,Syntax error for XML id %r in %s,Foutieve verwijzing voor XML id %r in %s,0
error,xml_record_desc,0,This record is part of the base configuration.,Dit item is onderdeel van de basis configuratie.,0
field,"ir.action,active",0,Active,Actief,0
field,"ir.action,groups",0,Groups,Groepen,0
field,"ir.action,keywords",0,Keywords,Trefwoorden,0
field,"ir.action,name",0,Name,Naam,0
field,"ir.action,rec_name",0,Name,Naam,0
field,"ir.action,type",0,Type,Type,0
field,"ir.action,usage",0,Usage,Gebruik,0
field,"ir.action.act_window,act_window_views",0,Views,Aanzichten,0
field,"ir.action.act_window,action",0,Action,Actie,0
field,"ir.action.act_window,auto_refresh",0,Auto-Refresh,Automatisch verversen,0
field,"ir.action.act_window,context",0,Context Value,Samenhang waarde,0
field,"ir.action.act_window,domain",0,Domain Value,Domein waarde,0
field,"ir.action.act_window,limit",0,Limit,Begrenzing,0
field,"ir.action.act_window,pyson_context",0,PySON Context,PySON verband,0
field,"ir.action.act_window,pyson_domain",0,PySON Domain,PySON domein,0
field,"ir.action.act_window,pyson_search_value",0,PySON Search Criteria,PySON zoekargument,0
field,"ir.action.act_window,rec_name",0,Name,Naam,0
field,"ir.action.act_window,res_model",0,Model,Model,0
field,"ir.action.act_window,search_value",0,Search Criteria,Zoekargumenten,0
field,"ir.action.act_window,view_type",0,Type of view,Type aanzicht,0
field,"ir.action.act_window,views",0,Views,Aanzichten,0
field,"ir.action.act_window,window_name",0,Window Name,Aanzicht naam,0
field,"ir.action.act_window.view,act_window",0,Action,Actie,0
field,"ir.action.act_window.view,rec_name",0,Name,Naam,0
