type,name,res_id,src,value,fuzzy
error,res.group,0,The name of the group must be unique!,Der Name der Gruppe kann nicht mehrfach vergeben werden!,0
error,res.user,0,Wrong password!,Ungültiges Passwort!,0
error,res.user,0,You can not have two users with the same login!,Der Anmeldename für einen Benutzer kann nur einmal vergeben werden!,0
error,res.user,0,"You can not remove the root user
as it is used internally for resources
created by the system (updates, module installation, ...)","Der Benutzer root kann nicht gelöscht werden, da er für interne Systemverwaltungsaufgaben
(Updates, Modulinstallation, ...) benötigt wird!",0
field,"ir.action-res.group,action_id",0,Action,Aktion,0
field,"ir.action-res.group,gid",0,Group,Gruppe,0
field,"ir.action-res.group,rec_name",0,Name,Name,0
field,"ir.model.field-res.group,field_id",0,Model Field,Modell Feld,0
field,"ir.model.field-res.group,group_id",0,Group,Gruppe,0
field,"ir.model.field-res.group,rec_name",0,Name,Name,0
field,"ir.rule.group-res.group,group_id",0,Group,Gruppe,0
field,"ir.rule.group-res.group,rec_name",0,Name,Name,0
field,"ir.rule.group-res.group,rule_group_id",0,Rule Group,Regel Gruppe,0
field,"ir.rule.group-res.user,rec_name",0,Name,Name,0
field,"ir.rule.group-res.user,rule_group_id",0,Rule Group,Regel Gruppe,0
field,"ir.rule.group-res.user,user_id",0,User,Benutzer,0
field,"ir.sequence,groups",0,User Groups,Benutzergruppen,0
field,"ir.sequence.strict,groups",0,User Groups,Benutzergruppen,0
field,"ir.sequence.type,groups",0,User Groups,Benutzergruppen,0
field,"ir.sequence.type-res.group,group",0,User Groups,Benutzergruppen,0
field,"ir.sequence.type-res.group,rec_name",0,Name,Name Staat,0
field,"ir.sequence.type-res.group,sequence_type",0,Sequence Type,Typ Strikter Nummernkreis,0
field,"ir.ui.menu-res.group,gid",0,Group,Gruppe,0
field,"ir.ui.menu-res.group,menu_id",0,Menu,Menü,0
field,"ir.ui.menu-res.group,rec_name",0,Name,Name,0
field,"res.group,create_date",0,Creation date,Erstellungsdatum,0
field,"res.group,create_uid",0,Creation user,Ersteller,0
field,"res.group,id",0,ID,ID,0
field,"res.group,menu_access",0,Access Menu,Menü Berechtigungen,0
field,"res.group,model_access",0,Access Model,Rechteverwaltung,0
field,"res.group,name",0,Name,Gruppenname,0
field,"res.group,rec_name",0,Name,Name,0
field,"res.group,rule_groups",0,Rules,Datensatzregeln,0
field,"res.group,users",0,Users,Benutzer,0
field,"res.group,write_date",0,Last modification date,Zuletzt geändert am,0
field,"res.group,write_uid",0,Last modification by,Zuletzt geändert von,0
field,"res.request,act_from",0,From,Von,0
field,"res.request,active",0,Active,Aktiv,0
field,"res.request,act_to",0,To,An,0
field,"res.request,body",0,Body,Anfrage,0
field,"res.request,create_date",0,Creation date,Erstellungsdatum,0
field,"res.request,create_uid",0,Creation user,Ersteller,0
field,"res.request,date_sent",0,Date,Datum,0
field,"res.request,history",0,History,Bisherige Anfragen,0
field,"res.request.history,act_from",0,From,Von,0
field,"res.request.history,act_to",0,To,An,0
field,"res.request.history,body",0,Body,Nachricht,0
field,"res.request.history,create_date",0,Creation date,Erstellungsdatum,0
field,"res.request.history,create_uid",0,Creation user,Ersteller,0
field,"res.request.history,date_sent",0,Date sent,Gesendet am,0
field,"res.request.history,id",0,ID,ID,0
field,"res.request.history,name",0,Summary,Zusammenfassung,0
field,"res.request.history,number_references",0,References,Verweise,0
field,"res.request.history,priority",0,Priority,Priorität,0
field,"res.request.history,rec_name",0,Name,Name,0
field,"res.request.history,request",0,Request,Anfrage,0
field,"res.request.history,state",0,State,Status,0
field,"res.request.history,subject",0,Subject,Betreff,0
field,"res.request.history,write_date",0,Last modification date,Zuletzt geändert am,0
field,"res.request.history,write_uid",0,Last modification by,Zuletzt geändert von,0
field,"res.request,id",0,ID,ID,0
field,"res.request.link,create_date",0,Creation date,Erstellungsdatum,0
field,"res.request.link,create_uid",0,Creation user,Ersteller,0
field,"res.request.link,id",0,ID,ID,0
field,"res.request.link,model",0,Model,Modell,0
field,"res.request.link,name",0,Name,Name,0
field,"res.request.link,priority",0,Priority,Dringlichkeit,0
field,"res.request.link,rec_name",0,Name,Name,0
