type,name,res_id,src,value,fuzzy
error,res.group,0,The name of the group must be unique!,El nombre del grupo debe ser único!,0
error,res.user,0,Wrong password!,,0
error,res.user,0,You can not have two users with the same login!,No puede tener dos usuarios con el mismo nombre de usuario!,0
error,res.user,0,"You can not remove the root user
as it is used internally for resources
created by the system (updates, module installation, ...)",No puede eliminar al usuario principal,0
field,"ir.action-res.group,action_id",0,Action,Acción,0
field,"ir.action-res.group,gid",0,Group,Grupo,0
field,"ir.action-res.group,rec_name",0,Name,Nombre,0
field,"ir.model.field-res.group,field_id",0,Model Field,Modelo de Campo,0
field,"ir.model.field-res.group,group_id",0,Group,Grupo,0
field,"ir.model.field-res.group,rec_name",0,Name,Nombre,0
field,"ir.rule.group-res.group,group_id",0,Group,Grupo,0
field,"ir.rule.group-res.group,rec_name",0,Name,Nombre,0
field,"ir.rule.group-res.group,rule_group_id",0,Rule Group,Regla de Grupo,0
field,"ir.rule.group-res.user,rec_name",0,Name,Nombre,0
field,"ir.rule.group-res.user,rule_group_id",0,Rule Group,Regla de Grupo,0
field,"ir.rule.group-res.user,user_id",0,User,Usuario,0
field,"ir.sequence,groups",0,User Groups,Grupos de usuarios,0
field,"ir.sequence.strict,groups",0,User Groups,Grupos de usuarios,0
field,"ir.sequence.type,groups",0,User Groups,Grupos de usuarios,0
field,"ir.sequence.type-res.group,group",0,User Groups,Grupos de usuarios,0
field,"ir.sequence.type-res.group,rec_name",0,Name,Nombre de Contacto,1
field,"ir.sequence.type-res.group,sequence_type",0,Sequence Type,Tipo de Secuencia,1
field,"ir.ui.menu-res.group,gid",0,Group,Grupo,0
field,"ir.ui.menu-res.group,menu_id",0,Menu,Menú,0
field,"ir.ui.menu-res.group,rec_name",0,Name,Nombre,0
field,"res.group,menu_access",0,Access Menu,Menú para Acceder,0
field,"res.group,model_access",0,Access Model,Modelo al Acceder,0
field,"res.group,name",0,Name,Nombre,0
field,"res.group,rec_name",0,Name,Nombre,0
field,"res.group,rule_groups",0,Rules,Reglas,0
field,"res.group,users",0,Users,Usuarios,0
field,"res.request,act_from",0,From,De,0
field,"res.request,active",0,Active,Activ@,0
field,"res.request,act_to",0,To,A,0
field,"res.request,body",0,Body,Cuerpo,0
field,"res.request,date_sent",0,Date,Fecha,0
field,"res.request,history",0,History,Historia,0
field,"res.request.history,act_from",0,From,De,0
field,"res.request.history,act_to",0,To,A,0
field,"res.request.history,body",0,Body,Cuerpo,0
field,"res.request.history,date_sent",0,Date sent,Fecha de envío,0
field,"res.request.history,name",0,Summary,Resumen,0
field,"res.request.history,number_references",0,References,Referencias,0
field,"res.request.history,priority",0,Priority,Prioridad,0
field,"res.request.history,rec_name",0,Name,Nombre,0
field,"res.request.history,request",0,Request,Solicitud,0
field,"res.request.history,state",0,State,Estado,0
field,"res.request.history,subject",0,Subject,Título,0
field,"res.request.link,model",0,Model,Modelo,0
field,"res.request.link,name",0,Name,Nombre,0
field,"res.request.link,priority",0,Priority,Prioridad,0
field,"res.request.link,rec_name",0,Name,Nombre,0
field,"res.request,name",0,Subject,Título,0
field,"res.request,number_references",0,Number of References,Número de referencias,0
field,"res.request,priority",0,Priority,Prioridad,0
field,"res.request,rec_name",0,Name,Nombre,0
field,"res.request.reference,rec_name",0,Name,Nombre,0
field,"res.request.reference,reference",0,Reference,Referencia,0
field,"res.request.reference,request",0,Request,Solicitud,0
field,"res.request,references",0,References,Referencias,0
field,"res.request,state",0,State,Estado,0
field,"res.request,trigger_date",0,Trigger Date,Fecha de Activación,0
field,"res.user,action",0,Home Action,Acción Inicial,0
field,"res.user,active",0,Active,Activ@,0
field,"res.user,connections",0,Connections,,0
field,"res.user,email",0,Email,Correo Electrónico,0
field,"res.user,groups",0,Groups,Grupos,0
field,"res.user,language",0,Language,Idioma,0
field,"res.user,language_direction",0,Language Direction,Dirección del Idioma,0
field,"res.user,login",0,Login,Usuario,0
field,"res.user,menu",0,Menu Action,Acción del Menú,0
field,"res.user,name",0,Name,Nombre,0
field,"res.user,password",0,Password,Clave,0
field,"res.user,rec_name",0,Name,Nombre,0
field,"res.user-res.group,gid",0,Group,Grupo,0
field,"res.user-res.group,rec_name",0,Name,Nombre,0
field,"res.user-res.group,uid",0,User,Usuario,0
field,"res.user,rule_groups",0,Rules,Reglas,0
field,"res.user,salt",0,Salt,,0
field,"res.user,signature",0,Signature,Firma,0
field,"res.user,status_bar",0,Status Bar,Barra de Estado,0
field,"res.user,timezone",0,Timezone,Zona horaria,0
field,"res.user.warning,always",0,Always,Siempre,0
field,"res.user.warning,name",0,Name,Nombre,0
field,"res.user.warning,rec_name",0,Name,Nombre,0
field,"res.user,warnings",0,Warnings,Advertencias,0
field,"res.user.warning,user",0,User,Usuario,0
help,"ir.sequence.type,groups",0,Groups allowed to edit the sequences of this type,Los grupos son autorizados para editar secuencias en este tipo,0
model,"ir.action,name",act_group_form,Groups,Grupos,0
model,"ir.action,name",act_request_link_form,Request Links,Enlace de Solicitud,0
model,"ir.action,name",act_request_form,Requests,Solicitudes,0
model,"ir.action,name",act_user_form,Users,Usuarios,0
model,"ir.action-res.group,name",0,Action - Group,Acción - Grupo,0
model,"ir.model.field-res.group,name",0,Model Field Group Rel,Modelo de Campo Grupo Rel,0
model,"ir.rule.group-res.group,name",0,Rule Group - Group,Regla de Grupo - Grupo,0
model,"ir.rule.group-res.user,name",0,Rule Group - User,Regla de Grupo - Usuario,0
model,"ir.sequence.type-res.group,name",0,Sequence Type - Group,Secuencia de Tipo - Grupo,0
model,"ir.ui.menu,name",menu_group_form,Groups,Grupos,0
model,"ir.ui.menu,name",menu_request_link_form,Request Links,Enlace de Solicitud,0
model,"ir.ui.menu,name",menu_request_form,Requests,Solicitudes,0
model,"ir.ui.menu,name",menu_res,Users,Usuarios,0
model,"ir.ui.menu,name",menu_user_form,Users,Usuarios,0
model,"ir.ui.menu-res.group,name",0,UI Menu - Group,Menú UI - Grupo,0
model,"res.group,name",group_admin,Administration,Administración,0
model,"res.group,name",0,Group,Grupo,0
model,"res.request.history,name",0,Request history,Historia de Solicitud,0
model,"res.request.link,name",0,Request link,Enlace de Solicitud,0
model,"res.request.link,name",request_link_cron,Scheduler,Agendador,0
model,"res.request,name",0,Request,Solicitud,0
model,"res.request.reference,name",0,Request Reference,Referencia de Solicitud,0
model,"res.user.config.init,name",0,User Config Init,Inicio de Configuración de Usuario,0
model,"res.user,name",user_admin,Administrator,Administrador,0
model,"res.user,name",0,User,Usuario,0
model,"res.user-res.group,name",0,User - Group,Usuario - Grupo,0
model,"res.user.warning,name",0,User Warning,Advertencia al Usuario,0
selection,"res.request.history,priority",0,High,Alto,0
selection,"res.request.history,priority",0,Low,Bajo,0
selection,"res.request.history,priority",0,Normal,Normal,0
selection,"res.request.history,state",0,Chatting,Charla,0
selection,"res.request.history,state",0,Closed,Cerrado,0
selection,"res.request.history,state",0,Draft,Borrador,0
selection,"res.request.history,state",0,Waiting,En Espera,0
selection,"res.request,priority",0,High,Alto,0
selection,"res.request,priority",0,Low,Bajo,0
selection,"res.request,priority",0,Normal,Normal,0
selection,"res.request,state",0,Chatting,Charla,0
selection,"res.request,state",0,Closed,Cerrado,0
selection,"res.request,state",0,Draft,Borrador,0
selection,"res.request,state",0,Waiting,En espera,0
view,ir.module.module,0,Cancel Installation,Cancelar Instalación,0
view,ir.module.module,0,Cancel Uninstallation,Cancelar la desinstalación,0
view,ir.module.module,0,Cancel Upgrade,Cancelar actualización,0
view,ir.module.module,0,Mark for Installation,Marcar para Instalación,0
view,ir.module.module,0,Mark for Uninstallation (beta),Marcar para Desinstalar,0
view,ir.module.module,0,Mark for Upgrade,Marcar para Actualizar,0
view,res.group,0,Access Permissions,Permisos de Acceso,0
view,res.group,0,Group,Grupo,0
view,res.group,0,Groups,Grupos,0
view,res.group,0,Members,Miembros,0
view,res.group,0,Security,Seguridad,0
view,res.request,0,Close,Cerrar,0
view,res.request,0,References,Referencias,0
view,res.request,0,Reply,Responder,0
view,res.request,0,Request,Solicitud,0
view,res.request,0,Requests,Solicitudes,0
view,res.request,0,Send,Enviar,0
view,res.request.history,0,Request History,Historial de Solicitudes,0
view,res.request.link,0,Request Link,Enlace de Solicitud,0
view,res.request.reference,0,Request Reference,Referencia de Solicitud,0
view,res.request.reference,0,Request References,Referencias de Solicitud,0
view,res.user,0,Access Permissions,Permisos de Acceso,0
view,res.user,0,Group Membership,Membresía del grupo,0
view,res.user,0,Preferences,Preferencias,0
view,res.user,0,Security,Seguridad,0
view,res.user,0,User,Usuario,0
view,res.user,0,Users,Usuarios,0
view,res.user.config.init,0,Add Users,Adicionar Usuarios,0
view,res.user.config.init,0,Be careful that the login must be unique!,Asegúrese de hacer los nombres de usuario únicos,0
view,res.user.config.init,0,You can now add some users into the system.,Ahora puede adicionar algunos usuarios al sistema.,0
view,res.user.warning,0,Warning,Advertencia,0
view,res.user.warning,0,Warnings,Advertencia,0
wizard_button,"res.user.config,init,end",0,Cancel,Cancelar,0
wizard_button,"res.user.config,init,user",0,Ok,Aceptar,0
wizard_button,"res.user.config,user,add",0,Add,Adicionar,0
wizard_button,"res.user.config,user,end",0,End,Finalizar,0
