type,name,res_id,src,value,fuzzy
error,res.group,0,The name of the group must be unique!,De naam van de groep moet uniek zijn!,0
error,res.user,0,Wrong password!,Verkeerd wachtwoord!,0
error,res.user,0,You can not have two users with the same login!,U kunt geen twee gebruikers met dezelfde login hebben!,0
error,res.user,0,"You can not remove the root user
as it is used internally for resources
created by the system (updates, module installation, ...)","De hoofdgebruiker kan niet verwijderd worden
omdat deze gebruikt wordt voor interne
doeleinden  (bijwerken, installatie, ...)",0
field,"ir.action-res.group,action_id",0,Action,Actie,0
field,"ir.action-res.group,gid",0,Group,Groep,0
field,"ir.action-res.group,rec_name",0,Name,Naam,0
field,"ir.model.field-res.group,field_id",0,Model Field,Model veld,0
field,"ir.model.field-res.group,group_id",0,Group,Groep,0
field,"ir.model.field-res.group,rec_name",0,Name,Naam,0
field,"ir.rule.group-res.group,group_id",0,Group,Groep,0
field,"ir.rule.group-res.group,rec_name",0,Name,Naam,0
field,"ir.rule.group-res.group,rule_group_id",0,Rule Group,Regel groep,0
field,"ir.rule.group-res.user,rec_name",0,Name,Naam,0
field,"ir.rule.group-res.user,rule_group_id",0,Rule Group,Regel groep,0
field,"ir.rule.group-res.user,user_id",0,User,Gebruiker,0
field,"ir.sequence,groups",0,User Groups,Gebruikersgroepen,0
field,"ir.sequence.strict,groups",0,User Groups,Gebruikersgroepen,0
field,"ir.sequence.type,groups",0,User Groups,Gebruikersgroepen,0
field,"ir.sequence.type-res.group,group",0,User Groups,Gebruikersgroepen,0
field,"ir.sequence.type-res.group,rec_name",0,Name,Naam,0
field,"ir.sequence.type-res.group,sequence_type",0,Sequence Type,Verzoek type,0
field,"ir.ui.menu-res.group,gid",0,Group,Groep,0
field,"ir.ui.menu-res.group,menu_id",0,Menu,Menu,0
field,"ir.ui.menu-res.group,rec_name",0,Name,Naam,0
field,"res.group,menu_access",0,Access Menu,Toegang menu,0
field,"res.group,model_access",0,Access Model,Toegang model,0
field,"res.group,name",0,Name,Naam,0
field,"res.group,rec_name",0,Name,Naam,0
field,"res.group,rule_groups",0,Rules,Regels,0
field,"res.group,users",0,Users,Gebruikers,0
field,"res.request,act_from",0,From,Vanaf,0
field,"res.request,act_to",0,To,Aan,0
field,"res.request,active",0,Active,Actief,0
field,"res.request,body",0,Body,Tekstgebied,0
field,"res.request,date_sent",0,Date,Verzenddatum,0
field,"res.request,history",0,History,Geschiedenis,0
field,"res.request,name",0,Subject,Onderwerp,0
field,"res.request,number_references",0,Number of References,Aantal referenties,0
field,"res.request,priority",0,Priority,Prioriteit,0
field,"res.request,rec_name",0,Name,Naam,0
field,"res.request,references",0,References,Referenties,0
field,"res.request,state",0,State,Status,0
field,"res.request,trigger_date",0,Trigger Date,Start datum,0
field,"res.request.history,act_from",0,From,Vanaf,0
field,"res.request.history,act_to",0,To,Aan,0
field,"res.request.history,body",0,Body,Tekstgebied,0
field,"res.request.history,date_sent",0,Date sent,Datum verzonden,0
field,"res.request.history,name",0,Summary,Samenvatting,0
field,"res.request.history,number_references",0,References,Referenties,0
field,"res.request.history,priority",0,Priority,Prioriteit,0
field,"res.request.history,rec_name",0,Name,Naam,0
field,"res.request.history,request",0,Request,Verzoek,0
field,"res.request.history,state",0,State,Status,0
field,"res.request.history,subject",0,Subject,Onderwerp,0
field,"res.request.link,model",0,Model,Model,0
field,"res.request.link,name",0,Name,Naam,0
field,"res.request.link,priority",0,Priority,Prioriteit,0
field,"res.request.link,rec_name",0,Name,Naam,0
field,"res.request.reference,rec_name",0,Name,Naam,0
field,"res.request.reference,reference",0,Reference,Referentie,0
field,"res.request.reference,request",0,Request,Verzoek,0
field,"res.user,action",0,Home Action,Basis actie,0
field,"res.user,active",0,Active,Actief,0
field,"res.user,connections",0,Connections,Verbindingen,0
field,"res.user,email",0,Email,E-mail,0
field,"res.user,groups",0,Groups,Groepen,0
field,"res.user,language",0,Language,Taal,0
field,"res.user,language_direction",0,Language Direction,Leesrichting,0
field,"res.user,login",0,Login,Login,0
field,"res.user,menu",0,Menu Action,Menu actie,0
field,"res.user,name",0,Name,Naam,0
field,"res.user,password",0,Password,Wachtwoord,0
field,"res.user,rec_name",0,Name,Naam,0
field,"res.user,rule_groups",0,Rules,Regels,0
field,"res.user,salt",0,Salt,Zout,0
field,"res.user,signature",0,Signature,Handtekening,0
field,"res.user,status_bar",0,Status Bar,Staus balk,0
field,"res.user,timezone",0,Timezone,Tijdzone,0
field,"res.user,warnings",0,Warnings,Waarschuwingen,0
field,"res.user-res.group,gid",0,Group,Groep,0
field,"res.user-res.group,rec_name",0,Name,Naam,0
field,"res.user-res.group,uid",0,User,Gebruiker,0
field,"res.user.warning,always",0,Always,Altijd,0
field,"res.user.warning,name",0,Name,Naam,0
field,"res.user.warning,rec_name",0,Name,Naam,0
field,"res.user.warning,user",0,User,Gebruiker,0
help,"ir.sequence.type,groups",0,Groups allowed to edit the sequences of this type,Groepen die de reeksen van dit type mogen bewerken,0
model,"ir.action,name",act_group_form,Groups,Groepen,0
model,"ir.action,name",act_request_form,Requests,Verzoeken,0
model,"ir.action,name",act_request_link_form,Request Links,Verzoek koppelingen,0
model,"ir.action,name",act_user_form,Users,Gebruikers,0
model,"ir.action-res.group,name",0,Action - Group,Actie-groep,0
model,"ir.cron,name",cron_trigger_time,Run On Time Triggers,Uitvoeren op tijd starters,0
model,"ir.model.field-res.group,name",0,Model Field Group Rel,Model veld groep naam,0
model,"ir.rule.group-res.group,name",0,Rule Group - Group,Regel groep - Groep,0
model,"ir.rule.group-res.user,name",0,Rule Group - User,Regel groep - Gebruiker,0
model,"ir.sequence.type-res.group,name",0,Sequence Type - Group,Verzoek type  - Groep,0
model,"ir.ui.menu,name",menu_group_form,Groups,Groepen,0
model,"ir.ui.menu,name",menu_request_form,Requests,Verzoeken,0
model,"ir.ui.menu,name",menu_request_link_form,Request Links,Verzoek koppelingen,0
model,"ir.ui.menu,name",menu_res,Users,Gebruikers,0
model,"ir.ui.menu,name",menu_user_form,Users,Gebruikers,0
model,"ir.ui.menu-res.group,name",0,UI Menu - Group,UI menu - Groep,0
model,"res.group,name",0,Group,Groep,0
model,"res.group,name",group_admin,Administration,Systeembeheer,0
model,"res.request,name",0,Request,Verzoek,0
model,"res.request.history,name",0,Request history,Verzoek geschiedenis,0
