type,name,res_id,src,value,fuzzy
error,ir.attachment,0,"You can not create an attachment
in a collection with the name
of an existing child collection!",No puede crear un adjunto en una colección con el nombre de una colección hija con tal nombre!,0
error,webdav.collection,0,The collection name must be unique inside a collection!,El nombre de la colección dentro de una colección debe ser único!,0
error,webdav.collection,0,"You can not create a collection
in a collection with the name of an existing file!",¡No puede crear una colección en una colección cuyo nombre ya lo tiene un fichero!,0
error,webdav.collection,0,You can not create recursive collections!,No puede crear colecciones recursivas!,0
field,"webdav.collection,childs",0,Children,Hij@s,0
field,"webdav.collection,domain",0,Domain,Dominio,0
field,"webdav.collection,model",0,Model,Modelo,0
field,"webdav.collection,name",0,Name,Nombre,0
field,"webdav.collection,parent",0,Parent,Padre,0
field,"webdav.collection,rec_name",0,Name,Nombre,0
model,"ir.action,name",act_collection_tree,Collections,Colecciones,0
model,"ir.action,name",act_collection_form,Collections,Colecciones,0
model,"ir.action,name",act_collection_form2,Collections,Colecciones,0
model,"ir.ui.menu,name",menu_collection_tree,Collections,Colecciones,0
model,"ir.ui.menu,name",menu_collection_form,Edit Collections,Editar Colecciones,0
model,"ir.ui.menu,name",menu_collection_form2,New Collection,Nueva Colección,0
model,"ir.ui.menu,name",menu_webdav,WebDAV,WebDAV,0
model,"webdav.collection,name",0,Collection,Colección,0
view,webdav.collection,0,Collection,Colección,0
view,webdav.collection,0,Collections,Colecciones,0
