type,name,res_id,src,value,fuzzy
field,"webdav.collection,childs",0,Childs,Enfants,0
field,"webdav.collection,domain",0,Domain,Domaine,0
field,"webdav.collection,model",0,Model,Modèle,0
field,"webdav.collection,name",0,Name,Nom,0
field,"webdav.collection,parent",0,Parent,Parent,0
model,"ir.ui.menu,name",menu_collection_tree,Collections,Collections,0
model,"ir.ui.menu,name",menu_collection_form,Edit Collections,Editer les Collections,0
model,"ir.ui.menu,name",menu_collection_form2,New Collection,Nouvelle Collection,0
model,"ir.ui.menu,name",menu_webdav,WebDAV,WebDAV,0
view,webdav.collection,0,Collection,Collection,0
view,webdav.collection,0,Collections,Collections,0
