type,name,res_id,src,value,fuzzy
error,ir.attachment,0,"You can not create an attachment
in a collection with the name
of an existing child collection!","U kunt geen bijlage toevoegen
met een naam gelijk aan een naam
van een deelverzameling!",0
error,webdav.collection,0,The collection name must be unique inside a collection!,De naam van de verzameling moet uniek zijn binnen de verzameling!,0
error,webdav.collection,0,"You can not create a collection
in a collection with the name of an existing file!","U kunt geen deelverzameling aanmaken met 
dezelfde naam als die van een bestaand bestand!",0
error,webdav.collection,0,You can not create recursive collections!,U kunt geen verzamelingen maken die naar zichzelf verwijzen!,0
field,"webdav.collection,childs",0,Children,Onderliggende niveaus,0
field,"webdav.collection,domain",0,Domain,Domein,0
field,"webdav.collection,model",0,Model,Model,0
field,"webdav.collection,name",0,Name,Naam,0
field,"webdav.collection,parent",0,Parent,Bovenliggend niveau,0
field,"webdav.collection,rec_name",0,Name,Naam,0
model,"ir.action,name",act_collection_form,Collections,Verzamelingen,0
model,"ir.action,name",act_collection_form2,Collections,Verzamelingen,0
model,"ir.action,name",act_collection_tree,Collections,Verzamelingen,0
model,"ir.ui.menu,name",menu_collection_form,Edit Collections,Verzamelingen muteren,0
model,"ir.ui.menu,name",menu_collection_form2,New Collection,Nieuwe verzameling,0
model,"ir.ui.menu,name",menu_collection_tree,Collections,Verzamelingen,0
model,"ir.ui.menu,name",menu_webdav,WebDAV,WebDAV,0
model,"webdav.collection,name",0,Collection,Verzameling,0
view,webdav.collection,0,Collection,Verzameling,0
view,webdav.collection,0,Collections,Verzamelingen,0
