type,name,res_id,src,value,fuzzy
error,ir.attachment,0,"You can not create an attachment
in a collection with the name
of an existing child collection!","Вы не можете создавать вложение
в каталоге с именем
 существующующего подкаталога!",0
error,webdav.collection,0,The collection name must be unique inside a collection!,Имя каталога должно быть уникальным внутри каталога!,0
error,webdav.collection,0,"You can not create a collection
in a collection with the name of an existing file!","Вы не можете создавать каталог
в каталоге с именем существующего файла!",0
error,webdav.collection,0,You can not create recursive collections!,Вы не можете создавать рекурсивные категории!,0
field,"webdav.collection,childs",0,Children,Подчиненый,0
field,"webdav.collection,domain",0,Domain,Область,0
field,"webdav.collection,model",0,Model,Шаблон,0
field,"webdav.collection,name",0,Name,Наименование,0
field,"webdav.collection,parent",0,Parent,Основной,0
field,"webdav.collection,rec_name",0,Name,Наименование,0
model,"ir.action,name",act_collection_tree,Collections,Каталоги,0
model,"ir.action,name",act_collection_form,Collections,Каталоги,0
model,"ir.action,name",act_collection_form2,Collections,Каталоги,0
model,"ir.ui.menu,name",menu_collection_tree,Collections,Каталоги,0
model,"ir.ui.menu,name",menu_collection_form,Edit Collections,Редактировать каталоги,0
model,"ir.ui.menu,name",menu_collection_form2,New Collection,Новый каталог,0
model,"ir.ui.menu,name",menu_webdav,WebDAV,,0
model,"webdav.collection,name",0,Collection,Каталог,0
view,webdav.collection,0,Collection,Каталог,0
view,webdav.collection,0,Collections,Каталоги,0
