type,name,res_id,src,value,fuzzy
error,workflow,0,No workflow defined!,Geen werkgang gedefinieert!,0
error,workflow.instance,0,No workflow instance defined!,Geen werkgang verzoek gedefinieert!,0
field,"workflow,activities",0,Activities,Activiteiten,0
field,"workflow,model",0,Resource Model,Middel model,0
field,"workflow,name",0,Name,Naam,0
field,"workflow,on_create",0,On Create,Bij maken,0
field,"workflow,rec_name",0,Name,Naam,0
field,"workflow.activity,action",0,Action,Actie,0
field,"workflow.activity,flow_start",0,Flow Start,Werkgang start,0
field,"workflow.activity,flow_stop",0,Flow Stop,Werkgang stop,0
field,"workflow.activity,in_transitions",0,Incoming transitions,Inkomende overgangen,0
field,"workflow.activity,join_mode",0,Join Mode,Verzoeken,0
field,"workflow.activity,kind",0,Kind,Soort,0
field,"workflow.activity,name",0,Name,Naam,0
field,"workflow.activity,out_transitions",0,Outgoing transitions,Uitgaande overgangen,0
field,"workflow.activity,rec_name",0,Name,Naam,0
field,"workflow.activity,signal_send",0,Signal (subflow.*),Signaal (subwerkgang.*),0
field,"workflow.activity,split_mode",0,Split Mode,Deel modus,0
field,"workflow.activity,subflow",0,Subflow,Subwerkgang,0
field,"workflow.activity,workflow",0,Workflow,Werkgang,0
field,"workflow.instance,overflows",0,Overflow,Overloop,0
field,"workflow.instance,rec_name",0,Name,Naam,0
field,"workflow.instance,res_id",0,Resource ID,Middel ID,0
field,"workflow.instance,res_type",0,Resource Model,Middel model,0
field,"workflow.instance,state",0,State,Status,0
field,"workflow.instance,transitions",0,Transitions,Overgangen,0
field,"workflow.instance,uid",0,User ID,Gebruiker ID,0
field,"workflow.instance,workflow",0,Workflow,Werkgang,0
field,"workflow.instance,workitems",0,Workitems,Handelingen,0
field,"workflow.transition,act_from",0,Source Activity,Bron activiteit,0
field,"workflow.transition,act_to",0,Destination Activity,Bestemming activiteit,0
field,"workflow.transition,condition",0,Condition,Voorwaarde,0
field,"workflow.transition,group",0,Group Required,Benodigde groep,0
field,"workflow.transition,instances",0,Instances,Verzoeken,0
field,"workflow.transition,rec_name",0,Name,Naam,0
field,"workflow.transition,signal",0,Signal (button Name),Signaal (knop naam),0
field,"workflow.transition,trigger_expr_id",0,Trigger Expr ID,Starter uitdr ID,0
field,"workflow.transition,trigger_model",0,Trigger Type,Starter type,0
field,"workflow.transition-workflow.instance,inst_id",0,Instance,Verzoek,0
field,"workflow.transition-workflow.instance,rec_name",0,Name,Naam,0
field,"workflow.transition-workflow.instance,trans_id",0,Transition,Overgang,0
field,"workflow.trigger,instance",0,Destination Instance,Bestemming verzoek,0
field,"workflow.trigger,model",0,Model,Model,0
field,"workflow.trigger,rec_name",0,Name,Naam,0
field,"workflow.trigger,res_id",0,Resource ID,Middel ID,0
field,"workflow.trigger,workitem",0,Workitem,Handeling,0
field,"workflow.workitem,activity",0,Activity,Activiteit,0
field,"workflow.workitem,instance",0,Instance,Verzoek,0
field,"workflow.workitem,rec_name",0,Name,Naam,0
field,"workflow.workitem,state",0,State,Status,0
field,"workflow.workitem,subflow",0,Subflow,Subwerkgang,0
model,"ir.action,name",act_activity_form,Activities,Activiteiten,0
model,"ir.action,name",act_instance_form,Instances,Verzoeken,0
model,"ir.action,name",act_transition_form,Transitions,Overgangen,0
model,"ir.action,name",act_workflow_form,Workflows,Werkgangen,0
model,"ir.action,name",act_workitem_form,Workitems,Handelingen,0
model,"ir.ui.menu,name",menu_activity_form,Activities,Activiteiten,0
model,"ir.ui.menu,name",menu_instance_form,Instances,Verzoeken,0
model,"ir.ui.menu,name",menu_transition_form,Transitions,Overgangen,0
model,"ir.ui.menu,name",menu_workflow,Workflow,Werkgang,0
model,"ir.ui.menu,name",menu_workflow_form,Workflows,Werkgangen,0
model,"ir.ui.menu,name",menu_workitem_form,Workitems,Handelingen,0
model,"workflow,name",0,Workflow,Werkgang,0
model,"workflow.activity,name",0,Workflow activity,Werkgang activiteit,0
model,"workflow.instance,name",0,Workflow instance,Werkgang verzoek,0
model,"workflow.transition,name",0,Workflow transition,Werkgang overgang,0
model,"workflow.transition-workflow.instance,name",0,Workflow Transition - Instance,Werkgang overgan - Verzoek,0
model,"workflow.trigger,name",0,Workflow trigger,Werkgang starter,0
model,"workflow.workitem,name",0,Workflow workitem,Werkgang handeling,0
selection,"workflow.activity,join_mode",0,And,En,0
selection,"workflow.activity,join_mode",0,Xor,Exof,0
selection,"workflow.activity,kind",0,Dummy,Loos,0
selection,"workflow.activity,kind",0,Function,Functie,0
selection,"workflow.activity,kind",0,Stop All,Alles stoppen,0
selection,"workflow.activity,kind",0,Subflow,Subwerkgang,0
selection,"workflow.activity,split_mode",0,And,En,0
selection,"workflow.activity,split_mode",0,Or,Of,0
selection,"workflow.activity,split_mode",0,Xor,Exof,0
view,workflow,0,Workflow,Werkgang,0
view,workflow.activity,0,Activity,Activiteit,0
view,workflow.activity,0,Transition,Overgang,0
view,workflow.activity,0,Transitions,Overgangen,0
view,workflow.instance,0,Instance,Verzoek,0
view,workflow.instance,0,Instances,Verzoeken,0
view,workflow.transition,0,Transition,Overgang,0
view,workflow.transition,0,Transitions,Overgangen,0
view,workflow.workitem,0,Workitem,Handeling,0
view,workflow.workitem,0,Workitems,Handelingen,0
