type,name,res_id,src,value,fuzzy
error,workflow,0,No workflow defined!,Не определен процесс!,0
error,workflow.instance,0,No workflow instance defined!,Не определен экземпляр процесса!,0
field,"workflow,activities",0,Activities,Активность,0
field,"workflow.activity,action",0,Action,Действие,0
field,"workflow.activity,flow_start",0,Flow Start,Запустить поток ,0
field,"workflow.activity,flow_stop",0,Flow Stop,Остановить поток,0
field,"workflow.activity,in_transitions",0,Incoming transitions,Входящая операция,0
field,"workflow.activity,join_mode",0,Join Mode,Режим объединения,0
field,"workflow.activity,kind",0,Kind,Тип,0
field,"workflow.activity,name",0,Name,Наименование,0
field,"workflow.activity,out_transitions",0,Outgoing transitions,Исходящая операция,0
field,"workflow.activity,rec_name",0,Name,Наименование,0
field,"workflow.activity,signal_send",0,Signal (subflow.*),Сигнал (подпроцесс.*),0
field,"workflow.activity,split_mode",0,Split Mode,Режим совмещения,0
field,"workflow.activity,subflow",0,Subflow,Подпоток,0
field,"workflow.activity,workflow",0,Workflow,Ход работ (WorkFlow),0
field,"workflow.instance,overflows",0,Overflow,Переполнение,0
field,"workflow.instance,rec_name",0,Name,Наименование,0
field,"workflow.instance,res_id",0,Resource ID,Ресурс ID,0
field,"workflow.instance,res_type",0,Resource Model,Ресурс Шаблон,0
field,"workflow.instance,state",0,State,Состояние,0
field,"workflow.instance,transitions",0,Transitions,Резервный счет,0
field,"workflow.instance,uid",0,User ID,Пользователь ID,0
field,"workflow.instance,workflow",0,Workflow,Ход работ (WorkFlow),0
field,"workflow.instance,workitems",0,Workitems,Рабочий пункт,0
field,"workflow,model",0,Resource Model,Ресурс Шаблон,0
field,"workflow,name",0,Name,Наименование,0
field,"workflow,on_create",0,On Create,Создать,0
field,"workflow,rec_name",0,Name,Наименование,0
field,"workflow.transition,act_from",0,Source Activity,Источник действия,0
field,"workflow.transition,act_to",0,Destination Activity,Получатель действия,0
field,"workflow.transition,condition",0,Condition,Состояние,0
field,"workflow.transition,group",0,Group Required,Требуется группа,0
field,"workflow.transition,instances",0,Instances,Резервный счет,0
field,"workflow.transition,rec_name",0,Name,Наименование,0
field,"workflow.transition,signal",0,Signal (button Name),Сигнал (наименование кнопки),0
field,"workflow.transition,trigger_expr_id",0,Trigger Expr ID,ИД триггера прерывания,0
field,"workflow.transition,trigger_model",0,Trigger Type,Тип триггера,0
field,"workflow.transition-workflow.instance,inst_id",0,Instance,Экземпляр,0
field,"workflow.transition-workflow.instance,rec_name",0,Name,Наименование,0
field,"workflow.transition-workflow.instance,trans_id",0,Transition,Переход,0
field,"workflow.trigger,instance",0,Destination Instance,Экземпляр получатель,0
field,"workflow.trigger,model",0,Model,Шаблон,0
field,"workflow.trigger,rec_name",0,Name,Наименование,0
field,"workflow.trigger,res_id",0,Resource ID,Ресурс ID,0
field,"workflow.trigger,workitem",0,Workitem,Пункт процесса,0
field,"workflow.workitem,activity",0,Activity,Деятельность,0
field,"workflow.workitem,instance",0,Instance,Экземпляр,0
field,"workflow.workitem,rec_name",0,Name,Наименование,0
field,"workflow.workitem,state",0,State,Состояние,0
field,"workflow.workitem,subflow",0,Subflow,Подпоток,0
model,"ir.action,name",act_activity_form,Activities,Активность,0
model,"ir.action,name",act_instance_form,Instances,Экземпляры,0
model,"ir.action,name",act_transition_form,Transitions,Переходы,0
model,"ir.action,name",act_workflow_form,Workflows,Процессы,0
model,"ir.action,name",act_workitem_form,Workitems,Пункт процесса,0
model,"ir.ui.menu,name",menu_activity_form,Activities,Активность,0
model,"ir.ui.menu,name",menu_instance_form,Instances,Экземпляры,0
model,"ir.ui.menu,name",menu_transition_form,Transitions,Переходы,0
model,"ir.ui.menu,name",menu_workflow,Workflow,Ход работ (WorkFlow),0
model,"ir.ui.menu,name",menu_workflow_form,Workflows,Процессы,0
model,"ir.ui.menu,name",menu_workitem_form,Workitems,Рабочий пункт,0
model,"workflow.activity,name",0,Workflow activity,Активный процесс,0
model,"workflow.instance,name",0,Workflow instance,Экземпляр процесса ,0
model,"workflow,name",0,Workflow,Ход работ (WorkFlow),0
model,"workflow.transition,name",0,Workflow transition,Переход процесса,0
model,"workflow.transition-workflow.instance,name",0,Workflow Transition - Instance,Процесс переход - экземпляр,0
model,"workflow.trigger,name",0,Workflow trigger,Триггер процесса,0
model,"workflow.workitem,name",0,Workflow workitem,Точка процесса,0
selection,"workflow.activity,join_mode",0,And,и,0
selection,"workflow.activity,join_mode",0,Xor,,0
selection,"workflow.activity,kind",0,Dummy,Временный,0
selection,"workflow.activity,kind",0,Function,Функция,0
selection,"workflow.activity,kind",0,Stop All,Остановить все,0
selection,"workflow.activity,kind",0,Subflow,Подпоток,0
selection,"workflow.activity,split_mode",0,And,и,0
selection,"workflow.activity,split_mode",0,Or,или,0
selection,"workflow.activity,split_mode",0,Xor,,0
view,workflow,0,Workflow,Ход работ (WorkFlow),0
view,workflow.activity,0,Activity,Деятельность,0
view,workflow.activity,0,Transition,Переход,0
view,workflow.activity,0,Transitions,Переходы,0
view,workflow.instance,0,Instance,Экземпляр,0
view,workflow.instance,0,Instances,Экземпляры,0
view,workflow.transition,0,Transition,Переход,0
view,workflow.transition,0,Transitions,Переходы,0
view,workflow.workitem,0,Workitem,Пункт процесса,0
view,workflow.workitem,0,Workitems,Пункты процесса,0
